Código,Nombre,Peso (kg/m),Largo (m)
602,,,
742,,,
743,,,
744,,,
745,,,
763,,,
764,,,
00010,PIRAMIDE TRUNCADA ALUMINIO,0.3,
00092,UNION CUADRANGULAR,1.381,6.05
00093,TABLILLA TUBULAR LISO 120mm,0.897,6.05
00094,UNION CUADRANGULAR MARCO 75mm,1.346,6.05
00095,MARCO CORREDIZO 3 GUIAS,1.158,6.2
00096,MARCO CORREDIZO 4 GUIAS,1.259,6.05
00097,MARCO CORREDIZO CON POSTIGON 130MM,1.15,6.05
00098,MARCO CON TAPAJUNTA,0.881,6.2
00099,MARCO LIVIANO,0.637,6.05
00101,MARCO,0.76,6.2
00102,TRAVESAÑO,0.447,6.05
00103,PARANTE LATERAL,0.453,6.05
00104,PARANTE CENTRAL,0.406,6.05
00105,MOSQUITERO,0.348,6.05
00106,UNION 180º MARCO 75mm,0.459,6.2
00107,MARCO PAÑO FIJO 75mm,0.563,6.05
00108,CONTRAVIDRIO,0.172,6.05
00109,GUIA CORTINA ENROLLAR,0.488,6.05
00110,GUIA 2 HOJAS CORREDIZAS,0.495,6.05
00111,MOSQUITERO ANGOSTO,0.258,6.05
00112,RIEL CORTINA,0.577,6.05
00113,TRAVESAÑO 75mm,0.75,6.05
00114,TRAVESAÑO,0.886,6.05
00115,TRAVESAÑO,0.388,6.05
00116,,,
00117,SUPLEMENTO PARA 4 HOJAS,0.628,6.05
00118,GUIA PROLONGACION,0.181,6.05
00119,CIERRE CENTRAL 4 HOJAS EN 2 GUIAS,0.32,6.05
00120,TRAVESAÑO DE PUERTA MOSQUITERO,0.501,6.05
00121,HOJA PUERTA MOSQUITERO,0.366,6.05
00122,TRAVESAÑO VERTICAL,0.435,6.05
00123,PARANTE LATERAL VENTANA BALCON,0.633,6.2
00124,PARANTE CENTRAL VENTANA BALCON,0.613,6.2
00125,ENCUENTRO CENTRAL REFORZADO 3014 / 3023,0.783,6.2
00126,ENCUENTRO CENTRAL 3014/3023,0.289,6.2
00127,TRAVESAÑO VENTANA CORREDIZA 86mm,0.929,6.05
00128,PORTA CONTRAVIDRIO,0.234,6.05
00129,MARCO TRANSITABLE TUBULAR 20mm,1.008,6.05
00130,MARCO TRANSITABLE 24mm,1.202,6.05
00131,,,
00132,,,
00133,,,
